movies_name,movies_rating,movies_tv_rating,movies_genre,movies_year,,Row Labels,Average of movies_rating,,,,,,,,Row Labels,Count of movies_tv_rating,,,,Row Labels,,Row Labels,Count of movies_genre
Big Mouth,7.9,TV-MA,"Animation, Comedy, Romance",(2017– ),,,,,,,,,,,,,,,,"Action, Comedy, Sport",,"Comedy, Family",173
Futurama,8.5,TV-14,"Animation, Adventure, Comedy",(1999–2023),,,,,,,,,,,,,,,,"Action, Comedy, Thriller",,"Sci-Fi, Thriller",167
My Hero Academia,8.4,TV-14,"Animation, Action, Adventure",(2016– ),,,,,,,,,,,,,,,,"Action, Comedy, War",,"Comedy, Drama, Fantasy",164
Pacific Rim: The Black,7,TV-14,"Animation, Action, Adventure",(2021–2022),,,,,,,,,,,,,,,,"Action, Comedy, Western",,"Animation, Comedy, Fantasy",163
SpongeBob SquarePants,8.2,TV-Y7,"Animation, Comedy, Family",(1999– ),,,,,,,,,,,,,,,,"Action, Crime, Comedy",,"Adventure, Comedy, Family",157
Jujutsu Kaisen,8.6,TV-MA,"Animation, Action, Adventure",(2020– ),,,,,,,,,,,,,,,,"Action, Crime, Drama",,"Animation, Adventure, Drama",156
Untitled Illumination Entertainment Super Mario Project,,,"Animation, Adventure, Comedy",-2023,,,,,,,,,,,,,,,,"Action, Crime, Fantasy",,"Comedy, Crime",154
King of the Hill,7.4,TV-14,"Animation, Comedy, Drama",(1997–2010),,,,,,,,,,,,,,,,"Action, Crime, Horror",,"Adventure, Comedy, Drama",152
Spirited Away,8.6,PG,"Animation, Adventure, Family",-2001,,,,,,,,,,,,,,,,"Action, Crime, Mystery",,"Animation, Family, Fantasy",148
Cars,7.2,G,"Animation, Adventure, Comedy",-2006,,,,,,,,,,,,,,,,"Action, Crime, Sci-Fi",,"Drama, Mystery, Sci-Fi",146
American Dad!,7.4,TV-MA,"Animation, Comedy",(2005– ),,,,,,,,,,,,,,,,"Action, Drama, Comedy",,"Comedy, Horror",144
Hunter x Hunter,9,TV-14,"Animation, Action, Adventure",(2011–2014),,,,,,,,,,,,,,,,"Action, Drama, Family",,"Animation, Action, Sci-Fi",144
Sing,7.1,PG,"Animation, Comedy, Family",-2016,,,,,,,,,,,,,,,,"Action, Drama, Fantasy",,"Drama, Sci-Fi, Thriller",141
Moana,7.6,PG,"Animation, Adventure, Comedy",(I) (2016),,,,,,,,,,,,,,,,"Action, Drama, Horror",,"Comedy, Horror, Sci-Fi",139
The Legend of Vox Machina,8.4,TV-MA,"Animation, Action, Adventure",(2022– ),,,,,,,,,,,,,,,,"Action, Drama, Music",,"Action, Drama, Sci-Fi",132
Star Wars: Rebels,8,TV-Y7-FV,"Animation, Action, Adventure",(2014–2018),,,,,,,,,,,,,,,,"Action, Drama, Mystery",,"Comedy, Drama, Music",129
Black Clover,8.3,TV-PG,"Animation, Action, Adventure",(2017–2021),,,,,,,,,,,,,,,,"Action, Drama, Romance",,"Action, Adventure, Horror",124
Zootopia,8,PG,"Animation, Adventure, Comedy",-2016,,,,,,,,,,,,,,,,"Action, Drama, Sci-Fi",,"Horror, Mystery, Sci-Fi",116
Batman: The Animated Series,9,TV-PG,"Animation, Action, Adventure",(1992–1995),,,,,,,,,,,,,,,,"Action, Family, Adventure",,"Animation, Comedy, Romance",114
Death Note,9,TV-14,"Animation, Crime, Drama",(2006–2007),,,,,,,,,,,,,,,,"Action, Family, Fantasy",,"Short, Sci-Fi",111
Spider-Man: Across the Spider-Verse,,,"Animation, Action, Adventure",-2023,,,,,,,,,,,,,,,,"Action, Family, Horror",,"Drama, Horror, Sci-Fi",111
Shrek,7.9,PG,"Animation, Adventure, Comedy",-2001,,,,,,,,,,,,,,,,"Action, Family, Sci-Fi",,"Comedy, Family, Fantasy",108
Ratatouille,8.1,G,"Animation, Adventure, Comedy",-2007,,,,,,,,,,,,,,,,"Action, Fantasy, Horror",,"Animation, Adventure, Fantasy",98
Adventure Time,8.6,TV-PG,"Animation, Action, Adventure",(2010–2018),,,,,,,,,,,,,,,,"Action, Fantasy, Musical",,"Action, Comedy, Drama",97
JoJo's Bizarre Adventure,8.4,TV-14,"Animation, Action, Adventure",(2012– ),,,,,,,,,,,,,,,,"Action, Fantasy, Mystery",,"Action, Adventure, Crime",94
The Incredibles,8,PG,"Animation, Action, Adventure",-2004,,,,,,,,,,,,,,,,"Action, Fantasy, Romance",,"Action, Adventure, Family",93
Luca,7.4,PG,"Animation, Adventure, Comedy",-2021,,,,,,,,,,,,,,,,"Action, Fantasy, Sci-Fi",,"Comedy, Fantasy, Horror",91
Toy Story,8.3,G,"Animation, Adventure, Comedy",-1995,,,,,,,,,,,,,,,,"Action, Horror, Adventure",,"Animation, Short, Family",90
Boruto: Naruto Next Generations,6.9,TV-14,"Animation, Action, Adventure",(2017– ),,,,,,,,,,,,,,,,"Action, Horror, Mystery",,"Biography, Comedy, Drama",89
Miraculous: Tales of Ladybug & Cat Noir,7.6,TV-Y7,"Animation, Action, Adventure",(2015– ),,,,,,,,,,,,,,,,"Action, Horror, Romance",,"Animation, Action, Crime",85
Fullmetal Alchemist: Brotherhood,9.1,TV-14,"Animation, Action, Adventure",(2009–2012),,,,,,,,,,,,,,,,"Action, Horror, Sci-Fi",,"Action, Comedy",84
Inside Out,8.2,PG,"Animation, Adventure, Comedy",(I) (2015),,,,,,,,,,,,,,,,"Action, Music, Sci-Fi",,"Action, Comedy, Horror",82
Coraline,7.7,PG,"Animation, Drama, Family",-2009,,,,,,,,,,,,,,,,"Action, Mystery, Sci-Fi",,"Comedy, Fantasy, Romance",79
Raya and the Last Dragon,7.3,PG,"Animation, Action, Adventure",-2021,,,,,,,,,,,,,,,,"Action, Romance, Sci-Fi",,"Adventure, Sci-Fi",77
Fairly OddParents,7.2,TV-Y7,"Animation, Adventure, Comedy",(2001–2017),,,,,,,,,,,,,,,,"Action, Sci-Fi",,"Animation, Short, Drama",77
Gravity Falls,8.9,TV-Y7,"Animation, Action, Adventure",(2012–2016),,,,,,,,,,,,,,,,"Action, Sci-Fi, Adventure",,"Drama, Romance, Sci-Fi",75
Frozen,7.4,PG,"Animation, Adventure, Comedy",(I) (2013),,,,,,,,,,,,,,,,"Action, Sci-Fi, Animation",,"Animation, Drama, Fantasy",75
Amphibia,8.1,TV-Y7,"Animation, Action, Adventure",(2019–2022),,,,,,,,,,,,,,,,"Action, Sci-Fi, Comedy",,"Action, Comedy, Sci-Fi",71
Harley Quinn,8.5,TV-MA,"Animation, Action, Adventure",(2019– ),,,,,,,,,,,,,,,,"Action, Sci-Fi, Drama",,"Animation, Drama, Romance",68
Jujutsu Kaisen 0: The Movie,7.9,PG-13,"Animation, Action, Fantasy",-2021,,,,,,,,,,,,,,,,"Action, Sci-Fi, Family",,"Comedy, Crime, Mystery",67
How to Train Your Dragon,8.1,PG,"Animation, Action, Adventure",-2010,,,,,,,,,,,,,,,,"Action, Sci-Fi, Horror",,"Comedy, Fantasy",66
Samurai Rabbit: The Usagi Chronicles,6.6,TV-Y7,"Animation, Action, Adventure",(2022– ),,,,,,,,,,,,,,,,"Action, Sci-Fi, Sport",,"Drama, Horror, Mystery",65
The Mitchells vs the Machines,7.6,PG,"Animation, Adventure, Comedy",-2021,,,,,,,,,,,,,,,,"Action, Sci-Fi, Thriller",,"Drama, Fantasy, Horror",65
Howl's Moving Castle,8.2,PG,"Animation, Adventure, Family",-2004,,,,,,,,,,,,,,,,"Action, Sci-Fi, War",,"Animation, Drama, Family",65
Hotel Transylvania 4: Transformania,6,PG,"Animation, Adventure, Comedy",-2022,,,,,,,,,,,,,,,,"Action, Sci-Fi, Western",,"Comedy, Musical, Romance",64
Bluey,9.7,TV-Y,"Animation, Family",(2018– ),,,,,,,,,,,,,,,,"Action, Thriller, Mystery",,"Comedy, Sport",59
Rumble,5.9,PG,"Animation, Comedy, Family",-2021,,,,,,,,,,,,,,,,"Action, Thriller, Sci-Fi",,"Comedy, Drama, Sci-Fi",59
Your Name.,8.4,PG,"Animation, Drama, Fantasy",-2016,,,,,,,,,,,,,,,,"Adult, Crime, Drama",,"Comedy, Music",58
Puffins,,,Animation,,,,,,,,,,,,,,,,,"Adventure, Action, Animation",,"Adventure, Comedy, Fantasy",58
Soul,8,PG,"Animation, Adventure, Comedy",-2020,,,,,,,,,,,,,,,,"Adventure, Action, Comedy",,"Comedy, Family, Romance",56
Hercules,7.3,G,"Animation, Adventure, Comedy",-1997,,,,,,,,,,,,,,,,"Adventure, Action, Sci-Fi",,"Adventure, Drama, Sci-Fi",56
Minions: The Rise of Gru,,PG,"Animation, Adventure, Comedy",-2022,,,,,,,,,,,,,,,,"Adventure, Animation",,"Animation, Fantasy",56
Coco,8.4,PG,"Animation, Adventure, Comedy",(I) (2017),,,,,,,,,,,,,,,,"Adventure, Animation, Action",,"Mystery, Sci-Fi, Thriller",55
Incredibles 2,7.6,PG,"Animation, Action, Adventure",-2018,,,,,,,,,,,,,,,,"Adventure, Animation, Comedy",,"Comedy, Family, Sci-Fi",53
Dragon Ball Z,8.8,TV-PG,"Animation, Action, Adventure",(1989–2003),,,,,,,,,,,,,,,,"Adventure, Animation, Drama",,"Action, Crime, Drama",53
Inside Job,7.6,TV-MA,"Animation, Comedy, Fantasy",(2021– ),,,,,,,,,,,,,,,,"Adventure, Animation, Family",,"Animation, Comedy, Sci-Fi",52
Finding Nemo,8.2,G,"Animation, Adventure, Comedy",-2003,,,,,,,,,,,,,,,,"Adventure, Animation, Fantasy",,"Adventure, Comedy, Crime",51
Kaguya-sama: Love is War,8.5,TV-14,"Animation, Comedy, Romance",(2019– ),,,,,,,,,,,,,,,,"Adventure, Animation, Sci-Fi",,"Action, Fantasy, Sci-Fi",50
One Punch Man,8.7,TV-PG,"Animation, Action, Comedy",(2015–2019),,,,,,,,,,,,,,,,"Adventure, Biography, Comedy",,"Comedy, Drama, Mystery",49
Aladdin,8,G,"Animation, Adventure, Comedy",-1992,,,,,,,,,,,,,,,,"Adventure, Comedy",,"Animation, Action, Family",49
WALL·E,8.4,G,"Animation, Adventure, Family",-2008,,,,,,,,,,,,,,,,"Adventure, Comedy, Action",,"Action, Comedy, Fantasy",48
The Lego Batman Movie,7.3,PG,"Animation, Action, Adventure",-2017,,,,,,,,,,,,,,,,"Adventure, Comedy, Crime",,"Action, Crime, Sci-Fi",46
Space Jam: A New Legacy,4.4,PG,"Animation, Adventure, Comedy",-2021,,,,,,,,,,,,,,,,"Adventure, Comedy, Drama",,"Comedy, Drama, Sport",45
Shrek 2,7.3,PG,"Animation, Adventure, Comedy",-2004,,,,,,,,,,,,,,,,"Adventure, Comedy, Family",,"Adventure, Comedy, Sci-Fi",45
The Prince of Egypt,7.1,PG,"Animation, Adventure, Drama",-1998,,,,,,,,,,,,,,,,"Adventure, Comedy, Fantasy",,"Fantasy, Horror, Sci-Fi",44
DC League of Super-Pets,,,"Animation, Action, Adventure",-2022,,,,,,,,,,,,,,,,"Adventure, Comedy, Film-Noir",,"Comedy, Drama, Horror",44
Berserk,8.7,TV-14,"Animation, Action, Adventure",(1997–1998),,,,,,,,,,,,,,,,"Adventure, Comedy, History",,"Drama, Fantasy, Sci-Fi",43
Castlevania,8.3,TV-MA,"Animation, Action, Adventure",(2017–2021),,,,,,,,,,,,,,,,"Adventure, Comedy, Horror",,"Animation, Sci-Fi",43
My Dress-Up Darling,8.2,TV-14,"Animation, Comedy, Romance",(2022– ),,,,,,,,,,,,,,,,"Adventure, Comedy, Music",,"Animation, Drama",43
"Monsters, Inc.",8.1,G,"Animation, Adventure, Comedy",-2001,,,,,,,,,,,,,,,,"Adventure, Comedy, Musical",,"Adventure, Comedy",42
Up,8.3,PG,"Animation, Adventure, Comedy",-2009,,,,,,,,,,,,,,,,"Adventure, Comedy, Mystery",,"Action, Drama, Horror",42
Tangled,7.7,PG,"Animation, Adventure, Comedy",-2010,,,,,,,,,,,,,,,,"Adventure, Comedy, Reality-TV",,"Short, Comedy",41
The Bob's Burgers Movie,,PG-13,"Animation, Adventure, Comedy",-2022,,,,,,,,,,,,,,,,"Adventure, Comedy, Romance",,"Short, Action, Sci-Fi",41
Bleach,8.2,TV-14,"Animation, Action, Adventure",(2004–2012),,,,,,,,,,,,,,,,"Adventure, Comedy, Sci-Fi",,"Comedy, Drama, Musical",41
A Bug's Life,7.2,G,"Animation, Adventure, Comedy",-1998,,,,,,,,,,,,,,,,"Adventure, Comedy, Sport",,"Animation, Short, Fantasy",41
The Lego Movie,7.7,PG,"Animation, Action, Adventure",-2014,,,,,,,,,,,,,,,,"Adventure, Comedy, Thriller",,"Comedy, Romance, Sci-Fi",40
Apollo 10½: A Space Age Childhood,7.3,PG-13,"Animation, Adventure, Drama",-2022,,,,,,,,,,,,,,,,"Adventure, Comedy, War",,"Comedy, Crime, Thriller",40
