movies_name,movies_rating,movies_tv_rating,movies_genre,movies_year,,Row Labels,Average of movies_rating,,,,,,,,Row Labels,Count of movies_tv_rating,,,,Row Labels,,Row Labels,Count of movies_genre
Hailey's on It!,,TV-Y7,"Animation, Adventure, Comedy",(II) (2023– ),,,,,,,,,,,,,,,,,,,
The Tell-Tale Heart,7.5,Passed,"Animation, Short, Crime",(I) (1953),,,,,,,,,,,,,,,,,,,
64 Zoo Lane,6.5,TV-Y,"Animation, Family",(1999–2013),,,,,,,,,,,,,,,,,,,
Rendezvous with Rama,6.1,,"Animation, Short, Sci-Fi",(2003 Video),,,,,,,,,,,,,,,,,,,
Birdie Wing: Golf Girls' Story,6.4,,"Animation, Sport",(2022– ),,,,,,,,,,,,,,,,,,,
Captain Scarlet,7.5,,"Animation, Action, Sci-Fi",-2005,,,,,,,,,,,,,,,,,,,
Kirikou and the Wild Beasts,6.6,,"Animation, Adventure, Family",-2005,,,,,,,,,,,,,,,,,,,
One Piece: Adventure of Nebulandia,6.8,,"Animation, Action, Adventure",(2015 TV Movie),,,,,,,,,,,,,,,,,,,
Space Goofs,6.7,TV-Y,"Animation, Comedy, Family",(1997–2006),,,,,,,,,,,,,,,,,,,
No Time for Nuts,7.5,G,"Animation, Short, Adventure",(2006 Video),,,,,,,,,,,,,,,,,,,
Majikoi ~ Oh! Samurai Girls,5.7,TV-14,"Animation, Comedy, Romance",(2011–2012),,,,,,,,,,,,,,,,,,,
My Friends Tigger & Pooh,5.5,TV-Y,"Animation, Short, Adventure",(2007–2010),,,,,,,,,,,,,,,,,,,
Cast Castle,8.5,,"Animation, Comedy, Reality-TV",(2021– ),,,,,,,,,,,,,,,,,,,
Lily C.A.T.,6.1,TV-14,"Animation, Action, Horror",(1987 Video),,,,,,,,,,,,,,,,,,,
Clash of the Gods,7.7,,"Documentary, Animation, Action",-2009,,,,,,,,,,,,,,,,,,,
Yang Jian,6,,Animation,-2021,,,,,,,,,,,,,,,,,,,
The Swan Princess: The Mystery of the Enchanted Treasure,5.4,G,"Animation, Adventure, Comedy",(1998 Video),,,,,,,,,,,,,,,,,,,
Giovanni's Island,7.3,,"Animation, Drama, History",-2014,,,,,,,,,,,,,,,,,,,
Game Theory,6.6,TV-PG,"Animation, Comedy, Talk-Show",(2011– ),,,,,,,,,,,,,,,,,,,
Gekijouban Sekaiichi hatsukoi: Yokozawa Takafumi no baai,7.5,,"Animation, Romance",-2014,,,,,,,,,,,,,,,,,,,
Tractor Tom,5.9,,"Animation, Short, Comedy",(2002– ),,,,,,,,,,,,,,,,,,,
Journey Back to Oz,5.8,G,"Animation, Adventure, Comedy",-1972,,,,,,,,,,,,,,,,,,,
"Recently, My Sister is Unusual",5.6,,"Animation, Comedy, Fantasy",(2014– ),,,,,,,,,,,,,,,,,,,
The Alphabet,6.7,,"Animation, Short, Horror",-1969,,,,,,,,,,,,,,,,,,,
Despicable Me: Minion Mayhem 3D,7.3,TV-PG,"Animation, Short, Adventure",(2012 Video),,,,,,,,,,,,,,,,,,,
The Bugs Bunny/Road-Runner Movie,7.2,G,"Animation, Comedy, Family",-1979,,,,,,,,,,,,,,,,,,,
Vic the Viking and the Magic Sword,5.2,,"Animation, Action, Adventure",-2019,,,,,,,,,,,,,,,,,,,
Where Did I Come from?,6.4,,"Animation, Short",(1985 Video),,,,,,,,,,,,,,,,,,,
Starship Troopers,6,,"Animation, Action, Drama",(1988– ),,,,,,,,,,,,,,,,,,,
Yakitate!! Japan,7.7,TV-PG,"Animation, Comedy",(2004–2006),,,,,,,,,,,,,,,,,,,
Chage & Aska: On Your Mark,7.5,,"Animation, Music, Sci-Fi",(1995 Music Video),,,,,,,,,,,,,,,,,,,
Lego DC Comics Superheroes: Justice League - Gotham City Breakout,6,Not Rated,"Animation, Action, Adventure",(2016 Video),,,,,,,,,,,,,,,,,,,
Godzilla: City on the Edge of Battle,5.8,TV-14,"Animation, Action, Adventure",-2018,,,,,,,,,,,,,,,,,,,
Tiny Toon Adventures: How I Spent My Vacation,8,Not Rated,"Animation, Adventure, Comedy",(1992 Video),,,,,,,,,,,,,,,,,,,
Ronin Warriors,7.4,PG-13,"Animation, Action, Adventure",(1988–1995),,,,,,,,,,,,,,,,,,,
The Champions,8.5,,"Animation, Short, Comedy",(2018– ),,,,,,,,,,,,,,,,,,,
One Piece: Chopper's Kingdom in the Strange Animal Island,6.4,,"Animation, Action, Adventure",-2002,,,,,,,,,,,,,,,,,,,
Monster High: 13 Wishes,6.7,TV-Y7,Animation,(2013 TV Movie),,,,,,,,,,,,,,,,,,,
A Warrior's Tail,4.4,Not Rated,"Animation, Adventure, Fantasy",-2015,,,,,,,,,,,,,,,,,,,
Hanuman,7.7,,Animation,-2005,,,,,,,,,,,,,,,,,,,
Dragon Ball: Episode of Bardock,7.4,TV-PG,"Animation, Short, Action",(2011 Video),,,,,,,,,,,,,,,,,,,
Kulipari: An Army of Frogs,6.7,TV-Y7,"Animation, Action, Fantasy",-2016,,,,,,,,,,,,,,,,,,,
No.7 Cherry Lane,6,,Animation,-2019,,,,,,,,,,,,,,,,,,,
Batman Unlimited: Monster Mayhem,5.6,PG,"Animation, Action, Adventure",(2015 Video),,,,,,,,,,,,,,,,,,,
Murder Drones,8.2,TV-PG,"Animation, Action, Adventure",(2021– ),,,,,,,,,,,,,,,,,,,
Little Princess,5.6,TV-Y7,"Animation, Family",(2006– ),,,,,,,,,,,,,,,,,,,
The Big Wish,4.8,TV-PG,"Animation, Family, Fantasy",-2019,,,,,,,,,,,,,,,,,,,
Barbie Video Game Hero,5,Not Rated,Animation,(2017 Video),,,,,,,,,,,,,,,,,,,
Dinosaur Planet,7.7,,"Documentary, Animation, Family",(2003– ),,,,,,,,,,,,,,,,,,,
Firebuds,,,"Animation, Short, Action",(2022– ),,,,,,,,,,,,,,,,,,,
Dexter's Laboratory: Ego Trip,7.5,TV-Y7-FV,"Animation, Action, Adventure",-1999,,,,,,,,,,,,,,,,,,,
Astonishing X-Men,7.2,,"Animation, Action, Sci-Fi",(2009– ),,,,,,,,,,,,,,,,,,,
Constantine: The Legend Continues,7.5,TV-14,"Documentary, Animation, Fantasy",(2018 TV Special),,,,,,,,,,,,,,,,,,,
Iron Man: Rise of Technovore,5.2,PG-13,"Animation, Action, Sci-Fi",(2013 Video),,,,,,,,,,,,,,,,,,,
"Shrek is Love, Shrek is Life",7.8,,"Animation, Short, Comedy",(2014 Video),,,,,,,,,,,,,,,,,,,
Codename: Kids Next Door - Operation Z.E.R.O.,7.5,TV-Y7,"Animation, Action, Adventure",(2006 TV Movie),,,,,,,,,,,,,,,,,,,
Songs of War,8.8,,"Animation, Action, Fantasy",(2019–2022),,,,,,,,,,,,,,,,,,,
"Race for Your Life, Charlie Brown",7.2,G,"Animation, Adventure, Comedy",-1977,,,,,,,,,,,,,,,,,,,
2 kleine kleutertjes: Een dag om nooit te vergeten,,,Animation,-2022,,,,,,,,,,,,,,,,,,,
Barbie in 'A Christmas Carol',6.2,TV-Y,"Animation, Family",(2008 Video),,,,,,,,,,,,,,,,,,,
Asterix Versus Caesar,6.8,Not Rated,"Animation, Adventure, Comedy",-1985,,,,,,,,,,,,,,,,,,,
Donald in Mathmagic Land,7.8,Approved,"Animation, Short, Family",-1959,,,,,,,,,,,,,,,,,,,
Babar,6.4,TV-Y7,"Animation, Comedy, Drama",(1989–2002),,,,,,,,,,,,,,,,,,,
Camp Camp,7.8,TV-14,"Animation, Adventure, Comedy",(2016– ),,,,,,,,,,,,,,,,,,,
009 Re: Cyborg,5.8,TV-14,"Animation, Action, Sci-Fi",-2012,,,,,,,,,,,,,,,,,,,
Senran Kagura Shinovi Master: Tokyo Yoma-hen,6,TV-MA,"Animation, Action, Comedy",-2018,,,,,,,,,,,,,,,,,,,
The Trumpet of the Swan,5,G,"Animation, Drama, Family",-2001,,,,,,,,,,,,,,,,,,,
Ultimate Muscle: The Kinnikuman Legacy,7.4,TV-Y7,"Comedy, Action, Animation",(2002–2004),,,,,,,,,,,,,,,,,,,
The Man Called Flintstone,6.5,Unrated,"Animation, Action, Adventure",-1966,,,,,,,,,,,,,,,,,,,
Brothers Conflict,5.9,TV-14,"Animation, Comedy, Romance",(2013– ),,,,,,,,,,,,,,,,,,,
The Jellies!,6.3,TV-14,"Animation, Comedy",(2017–2019),,,,,,,,,,,,,,,,,,,
Mona the Vampire,6.1,TV-Y,"Animation, Adventure, Comedy",(1999–2008),,,,,,,,,,,,,,,,,,,
Roadside Romeo,4.9,PG,"Animation, Adventure, Comedy",-2008,,,,,,,,,,,,,,,,,,,
Partridge Family 2200 AD,5.5,,"Animation, Sci-Fi, Family",(1974–1975),,,,,,,,,,,,,,,,,,,
Dorg Van Dango,7.5,,Animation,(2020– ),,,,,,,,,,,,,,,,,,,
Tripura,9.3,,"Animation, Drama",(2011 TV Movie),,,,,,,,,,,,,,,,,,,
DumbLand,6.3,TV-MA,"Animation, Short, Comedy",-2002,,,,,,,,,,,,,,,,,,,
Bulldog,,,"Animation, Short, Horror",,,,,,,,,,,,,,,,,,,,
Cardcaptor Sakura: Clear Card Arc,7.8,TV-PG,"Animation, Adventure, Comedy",(2018– ),,,,,,,,,,,,,,,,,,,
SoniAni: Super Sonico the Animation,5.7,TV-14,"Animation, Comedy, Music",-2014,,,,,,,,,,,,,,,,,,,
K-On! The Movie,7.6,TV-14,"Animation, Adventure, Comedy",-2011,,,,,,,,,,,,,,,,,,,
Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,6.1,,"Animation, Action, Adventure",-2018,,,,,,,,,,,,,,,,,,,
Dino King 3D: Journey to Fire Mountain,4.9,,"Animation, Action, Adventure",-2019,,,,,,,,,,,,,,,,,,,
Moondance Alexander,6.2,G,"Animation, Drama, Family",-2007,,,,,,,,,,,,,,,,,,,
Standing By,,,"Animation, Comedy",,,,,,,,,,,,,,,,,,,,
I Hate Everything,8.3,TV-MA,"Animation, Comedy, Talk-Show",(2013– ),,,,,,,,,,,,,,,,,,,
Heathcliff,6.5,TV-Y,"Animation, Family, Comedy",(1980–1984),,,,,,,,,,,,,,,,,,,
Don't Hug Me I'm Scared 6,8.4,TV-14,"Animation, Short, Drama",(2016 TV Short),,,,,,,,,,,,,,,,,,,
Escaflowne: The Movie,6.6,PG-13,"Adventure, Animation, Drama",-2000,,,,,,,,,,,,,,,,,,,
Kenzen Robo Daimidaler,6.1,TV-MA,"Animation, Action, Comedy",(2014– ),,,,,,,,,,,,,,,,,,,
Ancient Earth,7.5,Not Rated,"Documentary, Animation, History",(2017– ),,,,,,,,,,,,,,,,,,,
Space Chimps 2: Zartog Strikes Back,2.8,PG,"Animation, Comedy, Family",(2010 Video),,,,,,,,,,,,,,,,,,,
No Guns Life,6.7,TV-14,"Animation, Action, Sci-Fi",(2019– ),,,,,,,,,,,,,,,,,,,
JoJo & Gran Gran,8.2,,"Animation, Family",(2020– ),,,,,,,,,,,,,,,,,,,
Major Lazer,7.5,TV-MA,"Animation, Action, Comedy",(2014–2015),,,,,,,,,,,,,,,,,,,
Teamo Supremo,4,TV-Y,"Animation, Action, Adventure",(2002–2004),,,,,,,,,,,,,,,,,,,
Movie Mad,6,,"Animation, Short",-1931,,,,,,,,,,,,,,,,,,,
C.O.P.S.,7,TV-Y7,"Animation, Action, Crime",(1988–1989),,,,,,,,,,,,,,,,,,,
Challenge of the Superfriends,7.5,TV-Y7,"Animation, Action, Family",-1978,,,,,,,,,,,,,,,,,,,
Jobs,,,"Animation, Short, Family",-2010,,,,,,,,,,,,,,,,,,,
"Actually, I Am...",6.4,TV-PG,"Animation, Comedy, Fantasy",(2015– ),,,,,,,,,,,,,,,,,,,
Inhumans,6.5,Not Rated,"Animation, Action, Sci-Fi",(2013– ),,,,,,,,,,,,,,,,,,,
Liquid Television,8.1,TV-14,"Animation, Comedy, Crime",(1991–1994),,,,,,,,,,,,,,,,,,,
D.N. Ace,6.9,TV-Y7-FV,Animation,(2019– ),,,,,,,,,,,,,,,,,,,
Masameer County,8.1,TV-MA,"Animation, Comedy, Drama",(2021– ),,,,,,,,,,,,,,,,,,,
Monster High: Friday Night Frights,6.7,TV-Y7,"Animation, Short",-2012,,,,,,,,,,,,,,,,,,,
Lego City Undercover,8.1,E10+,"Animation, Action, Adventure",(2013 Video Game),,,,,,,,,,,,,,,,,,,
The Overcoat,7.9,,"Animation, Short",(II) (2018),,,,,,,,,,,,,,,,,,,
Gulliver's Travels,5.5,G,"Animation, Adventure, Comedy",-1977,,,,,,,,,,,,,,,,,,,
Legend of Kung Fu Rabbit,3.1,PG,"Animation, Action, Adventure",-2011,,,,,,,,,,,,,,,,,,,
Monster Rancher,7,TV-Y7,"Animation, Action, Adventure",(1999–2001),,,,,,,,,,,,,,,,,,,
Riddle Story of Devil,6.2,TV-14,"Animation, Action, Thriller",(2014– ),,,,,,,,,,,,,,,,,,,
It's a Big Big World,6.8,TV-Y,"Animation, Family",(2006– ),,,,,,,,,,,,,,,,,,,
Oruchuban Ebichu,7.6,,"Animation, Short, Comedy",-1999,,,,,,,,,,,,,,,,,,,
MeatCanyon,7.9,TV-MA,"Animation, Comedy, Horror",(2015– ),,,,,,,,,,,,,,,,,,,
MegaMan: NT Warrior,6.8,TV-Y7,"Animation, Action, Adventure",(2001–2005),,,,,,,,,,,,,,,,,,,
Wrinkles,7.6,Not Rated,"Animation, Drama",-2011,,,,,,,,,,,,,,,,,,,
Animals United 2: The Chilldown,,,"Animation, Adventure, Comedy",-2024,,,,,,,,,,,,,,,,,,,
Hellboy Animated: Sword of Storms,6.4,PG,"Animation, Action, Adventure",(2006 TV Movie),,,,,,,,,,,,,,,,,,,
Chozen,6.3,TV-MA,"Animation, Comedy",-2014,,,,,,,,,,,,,,,,,,,
Egyxos,7.9,,"Animation, Action, Family",(2014– ),,,,,,,,,,,,,,,,,,,
Franny's Feet,5.3,TV-Y,"Animation, Adventure, Comedy",(2003– ),,,,,,,,,,,,,,,,,,,
A Wizard's Tale,4.5,TV-G,"Animation, Adventure, Comedy",-2018,,,,,,,,,,,,,,,,,,,
The Legend of Mor'du,6.1,TV-PG,"Animation, Short, Family",(2011 Video),,,,,,,,,,,,,,,,,,,
Aika R-16: Virgin Mission,5.8,Not Rated,"Animation, Short, Action",(2007– ),,,,,,,,,,,,,,,,,,,
The New Hanna-Barbera Cartoon Series,7.5,,"Animation, Family, Comedy",(1962–1963),,,,,,,,,,,,,,,,,,,
Pink Panther & Pals,6.5,TV-Y,"Animation, Comedy, Family",-2010,,,,,,,,,,,,,,,,,,,
Roll No. 21 Space Mein Dhoom Dhadaka,8.4,,"Animation, Action, Adventure",(2013 TV Movie),,,,,,,,,,,,,,,,,,,
Pinkfong & Baby Shark's Space Adventure,4.9,TV-Y,"Animation, Adventure, Family",-2019,,,,,,,,,,,,,,,,,,,
Affairs of the Art,6.1,,"Animation, Short, Comedy",-2021,,,,,,,,,,,,,,,,,,,
Rescue Heroes,6.6,TV-Y7,"Animation, Action, Family",(1999–2013),,,,,,,,,,,,,,,,,,,
Angry Birds Stella,7.2,TV-Y7,Animation,(2014–2016),,,,,,,,,,,,,,,,,,,
SparkShorts,7,G,"Animation, Short, Comedy",-2019,,,,,,,,,,,,,,,,,,,
Wind,7,G,"Animation, Short, Comedy",-2019,,,,,,,,,,,,,,,,,,,
Monster High: Great Scarrier Reef,5.8,Not Rated,"Animation, Fantasy",(2016 Video),,,,,,,,,,,,,,,,,,,
Metalocalypse: The Doomstar Requiem - A Klok Opera,8,TV-MA,"Animation, Comedy, Music",(2013 TV Movie),,,,,,,,,,,,,,,,,,,
JLA Adventures: Trapped in Time,5.7,TV-Y7,"Animation, Action, Sci-Fi",(2014 Video),,,,,,,,,,,,,,,,,,,
Ricky Zoom,6.3,TV-Y,"Animation, Family",(2019– ),,,,,,,,,,,,,,,,,,,
The Donkey King,4.9,,"Animation, Adventure, Comedy",-2020,,,,,,,,,,,,,,,,,,,
Blade Dance of the Elementalers,6.4,TV-14,"Animation, Action, Comedy",-2014,,,,,,,,,,,,,,,,,,,
CardCaptors,8,TV-Y7,"Animation, Action, Drama",(I) (2000–2001),,,,,,,,,,,,,,,,,,,
The Eminence in Shadow,,,"Animation, Action, Comedy",(2022– ),,,,,,,,,,,,,,,,,,,
Beavis and Butt-Head: Revamped,2.6,TV-14,"Animation, Comedy",(2018– ),,,,,,,,,,,,,,,,,,,
The Secret Squirrel Show,6.7,TV-G,"Animation, Crime, Family",(1965–2003),,,,,,,,,,,,,,,,,,,
Nekomonogatari (Kuro),7.4,,"Animation, Comedy, Drama",-2012,,,,,,,,,,,,,,,,,,,
Last Days of Coney Island,6.2,TV-MA,"Animation, Short, Adventure",-2015,,,,,,,,,,,,,,,,,,,
Stars Align,7.4,TV-PG,"Animation, Drama, Sport",(2019– ),,,,,,,,,,,,,,,,,,,
She and Her Cat: Everything Flows,7.5,,"Animation, Drama",(2016– ),,,,,,,,,,,,,,,,,,,
Blèh,,,"Animation, Short",-2022,,,,,,,,,,,,,,,,,,,
The Comic Artist and Assistants,6.4,TV-14,"Animation, Comedy",(2014– ),,,,,,,,,,,,,,,,,,,
"Denver, the Last Dinosaur",6.4,TV-G,"Animation, Adventure, Comedy",(1988–1990),,,,,,,,,,,,,,,,,,,
My Little Pony: Equestria Girls Specials,6.5,TV-Y,"Animation, Comedy, Family",-2017,,,,,,,,,,,,,,,,,,,
White Album 2,7.2,TV-MA,"Animation, Music, Romance",(2013– ),,,,,,,,,,,,,,,,,,,
My Friend Ganesha,4.7,,"Animation, Fantasy",-2007,,,,,,,,,,,,,,,,,,,
Bratz Fashion Pixiez,5.6,TV-G,Animation,(2007 Video),,,,,,,,,,,,,,,,,,,
Out of the Cradle,7.8,Not Rated,"Documentary, Animation",(2018 TV Movie),,,,,,,,,,,,,,,,,,,
Winx Club 3D: Magical Adventure,6,G,Animation,-2010,,,,,,,,,,,,,,,,,,,
An American Tail: The Treasure of Manhattan Island,5.7,G,"Animation, Adventure, Family",(1998 Video),,,,,,,,,,,,,,,,,,,
Moomins,7.4,,"Animation, Short, Adventure",(1977–1982),,,,,,,,,,,,,,,,,,,
Tokyo Ghoul: Jack,7.2,TV-MA,"Animation, Short, Action",(2015 Video),,,,,,,,,,,,,,,,,,,
How Murray Saved Christmas,6.5,TV-G,"Animation, Short, Adventure",(2014 TV Special),,,,,,,,,,,,,,,,,,,
LEGO Monkie Kid: A Hero Is Born,7.7,TV-Y7,"Animation, Action, Adventure",(2020 TV Movie),,,,,,,,,,,,,,,,,,,
Mike the Knight,4.6,TV-Y,"Animation, Family",(2011–2017),,,,,,,,,,,,,,,,,,,
Magical Girl Raising Project,7.2,TV-MA,"Animation, Action, Fantasy",(2016– ),,,,,,,,,,,,,,,,,,,
Aika Zero,6.1,,"Animation, Short",(2009– ),,,,,,,,,,,,,,,,,,,
The Apostle,6.8,,"Animation, Horror",-2012,,,,,,,,,,,,,,,,,,,
The Roblox Movie,6.6,Not Rated,"Animation, Adventure, Comedy",(2019 Video),,,,,,,,,,,,,,,,,,,
Gopher Broke,6.5,Approved,"Animation, Short, Comedy",-2004,,,,,,,,,,,,,,,,,,,
Simba: The King Lion,6.6,,"Animation, Family",(1995– ),,,,,,,,,,,,,,,,,,,
Reign: The Conqueror,7,TV-14,"Animation, Action, Adventure",(1997–2000),,,,,,,,,,,,,,,,,,,
Lobo,5.7,TV-MA,"Animation, Short, Action",-2000,,,,,,,,,,,,,,,,,,,
Zorro,,,"Animation, Action, Family",(I),,,,,,,,,,,,,,,,,,,
Robotech: The Movie,6.3,PG,"Animation, Action, Music",-1986,,,,,,,,,,,,,,,,,,,
The Magic Roundabout,7.1,,"Animation, Adventure, Comedy",(1964–1995),,,,,,,,,,,,,,,,,,,
Kung Fu Panda: Secrets of the Masters,6.8,TV-PG,"Animation, Short, Action",(2011 Video),,,,,,,,,,,,,,,,,,,
Once Upon a Time,6,G,"Animation, Family, Fantasy",-1973,,,,,,,,,,,,,,,,,,,
Pokémon the Movie: Diancie and the Cocoon of Destruction,5.4,Not Rated,"Animation, Action, Adventure",-2014,,,,,,,,,,,,,,,,,,,
The Hero of Color City,3.9,G,"Animation, Adventure, Family",-2014,,,,,,,,,,,,,,,,,,,
Grimm Masterpiece Theatre,8.6,,"Animation, Family, Fantasy",(1987–1989),,,,,,,,,,,,,,,,,,,
Code: Breaker,6.7,TV-14,"Animation, Adventure, Crime",(2012– ),,,,,,,,,,,,,,,,,,,
Ninjago: The Virtues of Spinjitzu,8.2,,"Animation, Action, Adventure",(2022– ),,,,,,,,,,,,,,,,,,,
Problem Child,3.7,TV-Y7,"Animation, Short, Adventure",(1993–1994),,,,,,,,,,,,,,,,,,,
Invincible,8.6,,Animation,(2008– ),,,,,,,,,,,,,,,,,,,
Beauty Water,6.2,,"Animation, Thriller",-2020,,,,,,,,,,,,,,,,,,,
Freezing Vibration,6.9,TV-MA,"Animation, Action, Drama",(2013–2014),,,,,,,,,,,,,,,,,,,
Baka and Test,7.2,TV-14,"Animation, Comedy, Fantasy",(2010–2011),,,,,,,,,,,,,,,,,,,
New Fist of the North Star,6.8,TV-MA,"Animation, Action, Drama",(2003–2004),,,,,,,,,,,,,,,,,,,
The Elm-Chanted Forest,8.1,Not Rated,"Animation, Adventure, Family",-1986,,,,,,,,,,,,,,,,,,,
"Luna, Chip & Inkie Adventure Rangers Go",,,Animation,(2022– ),,,,,,,,,,,,,,,,,,,
Legend of the Dragon,6.3,TV-Y,"Animation, Action, Fantasy",(2005–2008),,,,,,,,,,,,,,,,,,,
Dragon Ball Z: The Return of Cooler,7,Not Rated,"Animation, Action, Fantasy",-1992,,,,,,,,,,,,,,,,,,,
Panda vs. Aliens,3.9,,"Animation, Comedy, Family",(I) (2021),,,,,,,,,,,,,,,,,,,
Bucky O'Hare and the Toad Wars!,7.3,,"Animation, Action, Adventure",(1991–1992),,,,,,,,,,,,,,,,,,,
Mobile Suit Gundam: NT - Narrative,6.1,,"Animation, Action, Drama",-2018,,,,,,,,,,,,,,,,,,,
Honoo no Chuunin Shiken! Naruto vs Konohamaru,6.8,,"Animation, Short, Action",(2011 Video),,,,,,,,,,,,,,,,,,,
Ella Bella Bingo,4.7,,"Animation, Family, Musical",-2020,,,,,,,,,,,,,,,,,,,
Once Upon a Time... Man,8.1,TV-PG,"Animation, Adventure, Drama",(1978–1981),,,,,,,,,,,,,,,,,,,
InHumanoids,7.4,,"Animation, Action, Adventure",-1986,,,,,,,,,,,,,,,,,,,
Kill It and Leave This Town,6.7,,"Animation, Drama",-2020,,,,,,,,,,,,,,,,,,,
Seinto Seiya: Meiô Hâdesu jûnikyû-hen,8.5,,"Animation, Action, Adventure",(2002–2008),,,,,,,,,,,,,,,,,,,
Black Butler: Book of the Atlantic,7.6,TV-MA,"Animation, Fantasy",-2017,,,,,,,,,,,,,,,,,,,
Clutch Cargo,5.5,,"Animation, Action, Adventure",(1959–1960),,,,,,,,,,,,,,,,,,,
Alpha and Omega 2: A Howl-iday Adventure,4.8,Not Rated,"Animation, Action, Adventure",(2013 Video),,,,,,,,,,,,,,,,,,,
The Rabbi's Cat,7.1,Not Rated,"Animation, Comedy, Fantasy",-2011,,,,,,,,,,,,,,,,,,,
Cupcake & Dino: General Services,7.5,TV-Y7,"Animation, Action, Comedy",(2018– ),,,,,,,,,,,,,,,,,,,
Fate/kaleid liner Prisma Illya,6,TV-14,"Animation, Action, Comedy",(2013– ),,,,,,,,,,,,,,,,,,,
Pui Pui Molcar,8.1,,"Animation, Comedy, Family",(2021– ),,,,,,,,,,,,,,,,,,,
A Certain Scientific Accelerator,6.9,TV-14,"Animation, Action, Comedy",(2019– ),,,,,,,,,,,,,,,,,,,
Billie's Magic World,,,"Animation, Comedy, Family",,,,,,,,,,,,,,,,,,,,
Barbie Presents: Thumbelina,5.6,TV-Y,"Animation, Family",(2009 Video),,,,,,,,,,,,,,,,,,,
The Tragedy of Man,8,,"Animation, Drama, History",-2011,,,,,,,,,,,,,,,,,,,
Donkey Xote,4.6,PG,"Animation, Adventure, Comedy",-2007,,,,,,,,,,,,,,,,,,,
Baoh the Caller,6.3,,"Animation, Action, Horror",(1989 Video),,,,,,,,,,,,,,,,,,,
Yu-Gi-Oh! Vrains,6,TV-PG,"Animation, Fantasy",(2017– ),,,,,,,,,,,,,,,,,,,
Bagpuss,7.7,,"Animation, Comedy, Family",-1974,,,,,,,,,,,,,,,,,,,
Lamput,9.3,,"Animation, Adventure, Comedy",(2017– ),,,,,,,,,,,,,,,,,,,
Cat City,8.3,,"Animation, Adventure, Comedy",-1986,,,,,,,,,,,,,,,,,,,
Marvel Rising: Heart of Iron,5.1,,"Animation, Short, Action",(2019 TV Short),,,,,,,,,,,,,,,,,,,
The New Woody Woodpecker Show,6.4,TV-Y,"Animation, Short, Adventure",(1999–2002),,,,,,,,,,,,,,,,,,,
Trollz,4.8,TV-Y7,"Animation, Adventure, Comedy",(2005–2006),,,,,,,,,,,,,,,,,,,
Iyana kao sa renagara o pantsu misete moraitai 2,6.3,,Animation,-2019,,,,,,,,,,,,,,,,,,,
Mazinger Z: INFINITY,5.8,TV-14,"Animation, Action, Sci-Fi",-2017,,,,,,,,,,,,,,,,,,,
Bob the Builder,2.1,TV-Y,"Animation, Comedy, Family",(2015– ),,,,,,,,,,,,,,,,,,,
Maiden Rose,6.3,TV-MA,"Animation, Drama, Romance",-2009,,,,,,,,,,,,,,,,,,,
Untitled Third Tintin Film,,,"Animation, Adventure, Comedy",,,,,,,,,,,,,,,,,,,,
The Senior Class,5.6,,Animation,-2016,,,,,,,,,,,,,,,,,,,
DC Showcase: The Spectre,7.2,PG-13,"Animation, Short, Fantasy",-2010,,,,,,,,,,,,,,,,,,,
Gnomes & Goblins,,,Animation,(2020 Video Game),,,,,,,,,,,,,,,,,,,
The Adventures of Tom Thumb & Thumbelina,5,G,"Animation, Family, Fantasy",(2002 Video),,,,,,,,,,,,,,,,,,,
The Rodfellows Movie,3.4,,"Animation, Adventure, Comedy",-2020,,,,,,,,,,,,,,,,,,,
Total Drama Adventure,8.5,,"Animation, Adventure, Comedy",(2021– ),,,,,,,,,,,,,,,,,,,
Mahabharat,5.3,,"Animation, Action, Adventure",-2013,,,,,,,,,,,,,,,,,,,
Attack of the Killer Tomatoes,6.1,TV-Y7-FV,"Animation, Comedy, Sci-Fi",(1990–1991),,,,,,,,,,,,,,,,,,,
Sonic: Night of the Werehog,6.3,Not Rated,"Animation, Short, Action",-2008,,,,,,,,,,,,,,,,,,,
Kong: King of the Apes,5.7,TV-Y7,"Animation, Action, Adventure",(2016–2018),,,,,,,,,,,,,,,,,,,
Tom and Jerry Meet Sherlock Holmes,6.4,TV-G,"Animation, Action, Adventure",(2010 Video),,,,,,,,,,,,,,,,,,,
Black Butler: Book of Circus,8.2,TV-MA,"Animation, Comedy, Fantasy",-2014,,,,,,,,,,,,,,,,,,,
The Snow Queen 2,5.8,TV-Y,"Animation, Adventure, Comedy",-2014,,,,,,,,,,,,,,,,,,,
Wu Geng Ji,8.4,,"Animation, Short, Action",(2016 TV Short),,,,,,,,,,,,,,,,,,,
Plastic Man,6.3,TV-G,"Animation, Adventure, Family",(1979– ),,,,,,,,,,,,,,,,,,,
Caillou's New Adventures,3.7,,"Animation, Family",(2016– ),,,,,,,,,,,,,,,,,,,
The Boxcar Children - Surprise Island,4.5,,Animation,-2018,,,,,,,,,,,,,,,,,,,
Eureka: Eureka Seven Hi-Evolution,7.1,,Animation,-2021,,,,,,,,,,,,,,,,,,,
The Head,6.9,TV-14,"Animation, Action, Adventure",(1994–1996),,,,,,,,,,,,,,,,,,,
Sea Level,4.3,PG,"Animation, Adventure, Comedy",-2011,,,,,,,,,,,,,,,,,,,
